City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Laguna,US,88.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
18,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
25,Sakakah,SA,75.04,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
27,San Francisco,US,76.98,smoke,37.7749,-122.4194,The Clift Royal Sonesta Hotel
35,Merauke,ID,81.88,overcast clouds,-8.4667,140.3333,
41,Lorengau,PG,82.33,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
48,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
54,Tucurui,BR,79.47,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
56,Hambantota,LK,79.02,overcast clouds,6.1241,81.1185,Bungalow 63
58,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
59,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
60,Sur,OM,82.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
61,Butaritari,KI,83.89,light rain,3.0707,172.7902,Isles Sunset Lodge
71,Dhanaura,IN,75.88,clear sky,28.9667,78.25,Pooja Sweets
76,San Jose,US,78.44,smoke,37.3394,-121.895,The Westin San Jose
78,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
88,Dakar,SN,81.48,broken clouds,14.6937,-17.4441,Redface Studios Meublés
91,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
96,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
100,Hailey,US,76.86,clear sky,43.5196,-114.3153,Wood River Inn & Suites
102,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
110,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
114,Hsinchu,TW,86.92,clear sky,24.8036,120.9686,迎曦大飯店
116,Mopti,ML,88.75,scattered clouds,14.6667,-4.0,
118,Itamaraca,BR,75.88,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
119,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
121,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
122,Ipameri,BR,78.15,broken clouds,-17.7219,-48.1597,Real Hotel
124,Marsaxlokk,MT,76.08,clear sky,35.8419,14.5431,Water's Edge
133,Gizo,SB,84.02,overcast clouds,-8.103,156.8419,Imagination Island
139,Tessalit,ML,87.26,clear sky,20.1986,1.0114,
144,Garhshankar,IN,75.92,clear sky,31.2167,76.1333,The Oasis Hotel
145,The Valley,AI,84.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
148,Bengkulu,ID,75.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
150,Locri,IT,75.33,broken clouds,38.2414,16.2623,Grand Hotel President
