City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.78,73,5,19.66,clear sky
1,Conde,BR,-7.2597,-34.9075,74.66,94,75,12.66,broken clouds
2,Thompson,CA,55.7435,-97.8558,54.05,63,10,2.1,clear sky
3,Bredasdorp,ZA,-34.5322,20.0403,57.27,91,54,1.48,broken clouds
4,Laguna,US,38.421,-121.4238,88.43,45,1,5.01,clear sky
5,Port Alfred,ZA,-33.5906,26.891,64.96,88,32,19.69,scattered clouds
6,Richards Bay,ZA,-28.783,32.0377,63.59,93,53,3.94,broken clouds
7,Inuvik,CA,68.3499,-133.7218,31.75,89,95,8.01,overcast clouds
8,Busselton,AU,-33.65,115.3333,58.08,85,79,13.82,broken clouds
9,Mataura,NZ,-46.1927,168.8643,48.47,37,4,2.46,clear sky
10,Lebu,CL,-37.6167,-73.65,49.05,71,15,21.23,few clouds
11,Severo-Kurilsk,RU,50.6789,156.125,52.09,81,80,11.43,broken clouds
12,Albany,US,42.6001,-73.9662,59.31,78,4,1.01,clear sky
13,Saldanha,ZA,-33.0117,17.9442,58.08,88,0,13.6,clear sky
14,Roma,US,43.2128,-75.4557,59.95,71,1,4.61,clear sky
15,Ancud,CL,-41.8697,-73.8203,42.33,79,19,6.22,few clouds
16,Saskylakh,RU,71.9167,114.0833,34.72,99,100,11.23,overcast clouds
17,Kurumkan,RU,54.3,110.3,37.62,81,92,2.44,overcast clouds
18,Kloulklubed,PW,7.0419,134.2556,84.7,75,84,9.82,broken clouds
19,Ostrovnoy,RU,68.0531,39.5131,43.61,93,93,14.29,overcast clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,69.49,90,88,9.4,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,60.28,75,62,1.99,broken clouds
22,Nikolskoye,RU,59.7035,30.7861,48.87,98,48,4.56,scattered clouds
23,Talcahuano,CL,-36.7167,-73.1167,51.48,62,0,16.11,clear sky
24,Bogorodskoye,RU,56.55,37.8833,44.94,97,100,7.96,overcast clouds
25,Sakakah,SA,29.9697,40.2064,75.04,26,0,6.98,clear sky
26,Torbay,CA,47.6666,-52.7314,54.57,89,100,8.77,overcast clouds
27,San Francisco,US,37.7749,-122.4194,76.98,76,40,4.0,smoke
28,Petropavlovka,RU,50.6114,105.3196,36.86,73,58,2.39,broken clouds
29,Ola,RU,59.5833,151.2833,43.74,52,22,7.61,few clouds
30,Ushuaia,AR,-54.8,-68.3,40.66,60,0,8.05,clear sky
31,Esperance,AU,-33.8667,121.9,57.04,89,77,13.22,broken clouds
32,Cherskiy,RU,68.75,161.3,32.56,100,100,16.35,snow
33,Starodub,RU,52.5844,32.7633,42.91,95,17,11.23,few clouds
34,Xingyi,CN,24.1877,102.817,58.64,94,1,2.04,clear sky
35,Merauke,ID,-8.4667,140.3333,81.88,76,85,9.51,overcast clouds
36,Raahe,FI,64.6833,24.4833,39.29,79,78,13.49,broken clouds
37,El Alto,PE,-4.2714,-81.2147,63.86,85,97,13.8,overcast clouds
38,Fairbanks,US,64.8378,-147.7164,36.61,73,75,3.44,light snow
39,Faya,SA,18.3851,42.4509,63.12,24,3,3.4,clear sky
40,Tazovskiy,RU,67.4667,78.7,32.9,78,6,2.75,clear sky
41,Lorengau,PG,-2.0226,147.2712,82.33,79,98,8.41,overcast clouds
42,Clyde River,CA,70.4692,-68.5914,26.24,86,33,7.63,scattered clouds
43,Yellowknife,CA,62.456,-114.3525,46.29,81,93,4.0,overcast clouds
44,Geraldton,AU,-28.7667,114.6,63.01,63,40,12.66,scattered clouds
45,Ketchikan,US,55.3422,-131.6461,51.78,92,100,5.37,moderate rain
46,Mar Del Plata,AR,-38.0023,-57.5575,54.09,66,90,1.99,overcast clouds
47,Lac Du Bonnet,CA,50.2536,-96.0612,58.8,53,48,6.85,scattered clouds
48,Port Hedland,AU,-20.3167,118.5667,75.25,38,22,9.22,few clouds
49,Vuktyl,RU,63.8567,57.3094,35.69,67,100,8.68,overcast clouds
50,Yanam,IN,16.7333,82.2167,74.77,96,100,9.64,very heavy rain
51,Shingu,JP,33.7333,135.9833,70.36,88,100,10.13,overcast clouds
52,Provideniya,RU,64.3833,-173.3,39.31,60,0,8.95,clear sky
53,Taksimo,RU,56.3444,114.8794,38.66,88,100,4.81,overcast clouds
